Test folder: ./output/december/train_data_39430/data_39430/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-0-17k| 0.8101 |  0.83  | 0.698  | 0.9207 | 0.9658 | 0.698  | 0.3637 | 0.2396 | 0.6907 
ours-0-20k| 0.8096 | 0.8301 | 0.702  | 0.9198 | 0.9607 | 0.702  | 0.3627 | 0.2382 | 0.6906 
ours-0-16k| 0.8069 | 0.8277 | 0.699  | 0.9183 | 0.9609 | 0.699  | 0.362  | 0.2392 | 0.6891 
ours-0-15k| 0.8075 | 0.8299 | 0.699  | 0.9157 | 0.9624 | 0.699  | 0.3597 | 0.2396 | 0.6891 
ours-0-14k| 0.8027 | 0.8231 | 0.689  | 0.9152 | 0.9628 | 0.689  | 0.3587 | 0.2386 | 0.6849 
ours-0-12k| 0.7998 | 0.8185 |  0.68  | 0.9203 | 0.963  |  0.68  | 0.3623 | 0.2392 | 0.6829 
ours-0-13k| 0.7981 |  0.82  | 0.682  | 0.9188 |  0.96  | 0.682  | 0.361  | 0.2378 | 0.6825 
ours-0-11k| 0.7937 | 0.8143 | 0.675  | 0.9207 | 0.961  | 0.675  | 0.3627 | 0.2382 | 0.6801 
ours-0-9k | 0.7938 | 0.811  | 0.668  | 0.9182 | 0.9638 | 0.668  | 0.361  | 0.2394 | 0.6779 
ours-0-10k| 0.7901 | 0.8092 | 0.667  | 0.9073 | 0.9608 | 0.667  | 0.3567 | 0.2382 | 0.6745 
ours-0-8k | 0.7871 | 0.8072 | 0.664  | 0.9117 | 0.9604 | 0.664  | 0.3577 | 0.237  | 0.6736 
ours-0-6k | 0.778  | 0.797  | 0.643  | 0.9093 | 0.9571 | 0.643  | 0.3563 | 0.2366 | 0.6651 
ours-0-7k | 0.7748 | 0.7938 | 0.641  | 0.9055 | 0.9629 | 0.641  | 0.3563 | 0.2388 | 0.6643 
ours-0-4k | 0.7705 | 0.7919 | 0.632  | 0.906  | 0.9568 | 0.632  | 0.3537 | 0.2366 | 0.6599 
ours-0-3k | 0.7573 | 0.775  | 0.609  | 0.906  | 0.9582 | 0.609  | 0.355  | 0.2374 | 0.6508 
ours-0-5k | 0.7588 | 0.7763 | 0.606  | 0.9083 | 0.9567 | 0.606  | 0.3543 | 0.2364 | 0.6504 
ours-0-2k | 0.7497 | 0.768  | 0.594  | 0.9053 | 0.958  | 0.594  | 0.354  | 0.2374 | 0.645  
ours-0-1k | 0.7391 | 0.7591 | 0.583  | 0.8925 | 0.9513 | 0.583  | 0.3477 | 0.234  | 0.6362 
