Test folder: ./output/december/mpnet_only_supervise_label_50739/data_all_50739/shared/avg/mpnet/contra-fact-010/
sent_avg-result: 
pos_score >= 1
model name|  MAP   |  MRR   |  R@1   |  R@3   |  R@5   |  P@1   |  P@3   |  P@5   |  avg   
ours-4-223k| 0.8812 | 0.8992 | 0.819  | 0.9497 | 0.9742 | 0.819  | 0.3823 | 0.2458 | 0.7463 
ours-4-235k|  0.88  | 0.8967 | 0.818  | 0.9477 | 0.9782 | 0.818  | 0.3817 | 0.2484 | 0.7461 
ours-4-214k| 0.881  | 0.8974 | 0.817  | 0.9495 | 0.9766 | 0.817  | 0.3823 | 0.2472 | 0.746  
ours-4-218k| 0.8803 | 0.8974 | 0.816  | 0.9492 | 0.9783 | 0.816  | 0.382  | 0.2482 | 0.7459 
ours-4-224k| 0.8797 | 0.898  | 0.817  | 0.9487 | 0.9778 | 0.817  | 0.3813 | 0.2468 | 0.7458 
ours-3-191k| 0.8804 | 0.8967 | 0.813  | 0.9553 | 0.9761 | 0.813  | 0.3853 | 0.2464 | 0.7458 
ours-2-113k| 0.8768 | 0.8986 |  0.82  | 0.9467 | 0.9769 |  0.82  |  0.38  | 0.2466 | 0.7457 
ours-2-135k| 0.877  | 0.8972 | 0.814  | 0.9547 | 0.9779 | 0.814  | 0.3837 | 0.247  | 0.7457 
ours-4-236k| 0.8798 | 0.8986 |  0.82  | 0.9478 | 0.9725 |  0.82  |  0.38  | 0.2458 | 0.7456 
ours-4-230k| 0.8812 | 0.8984 | 0.819  | 0.9437 | 0.9766 | 0.819  | 0.3787 | 0.248  | 0.7456 
ours-2-151k| 0.878  | 0.8974 | 0.818  | 0.9488 | 0.976  | 0.818  | 0.381  | 0.2472 | 0.7456 
ours-1-101k| 0.8789 | 0.8993 | 0.819  | 0.9492 | 0.9739 | 0.819  |  0.38  | 0.2452 | 0.7456 
ours-2-131k| 0.8772 | 0.8998 | 0.817  | 0.952  | 0.9743 | 0.817  | 0.3807 | 0.2448 | 0.7454 
ours-3-155k| 0.8788 | 0.8973 | 0.814  | 0.9535 | 0.9757 | 0.814  | 0.383  | 0.2462 | 0.7453 
ours-2-125k| 0.8772 | 0.8959 | 0.807  | 0.9598 | 0.9801 | 0.807  | 0.386  | 0.2482 | 0.7451 
ours-2-140k| 0.8782 | 0.8977 | 0.814  | 0.9507 | 0.9776 | 0.814  | 0.3817 | 0.247  | 0.7451 
ours-3-193k| 0.8788 | 0.8966 | 0.814  |  0.95  | 0.9785 | 0.814  | 0.3817 | 0.2468 | 0.745  
ours-2-116k| 0.8776 | 0.8962 | 0.814  | 0.9507 | 0.9791 | 0.814  | 0.3807 | 0.2476 | 0.745  
ours-3-189k| 0.8773 | 0.8969 | 0.816  | 0.9493 | 0.9761 | 0.816  | 0.381  | 0.2464 | 0.7449 
ours-4-240k| 0.8795 | 0.8969 | 0.816  | 0.9488 | 0.9739 | 0.816  | 0.3813 | 0.246  | 0.7448 
ours-2-126k| 0.8762 | 0.8965 | 0.811  | 0.9542 | 0.9783 | 0.811  | 0.3827 | 0.2474 | 0.7446 
ours-2-102k| 0.8764 | 0.8976 | 0.815  | 0.9507 | 0.9748 | 0.815  | 0.381  | 0.2464 | 0.7446 
ours-2-129k| 0.8778 | 0.8965 | 0.809  | 0.9567 | 0.976  | 0.809  | 0.3853 | 0.2464 | 0.7446 
ours-4-227k| 0.8782 | 0.8959 | 0.815  | 0.949  | 0.9754 | 0.815  | 0.381  | 0.2466 | 0.7445 
ours-4-228k| 0.8781 | 0.8957 | 0.812  | 0.9515 | 0.977  | 0.812  | 0.383  | 0.2466 | 0.7445 
ours-2-130k| 0.8766 | 0.895  | 0.811  | 0.9542 | 0.9773 | 0.811  | 0.3833 | 0.2466 | 0.7444 
ours-4-222k| 0.8788 | 0.8977 | 0.816  | 0.9458 | 0.9742 | 0.816  | 0.379  | 0.2464 | 0.7443 
ours-3-173k| 0.8779 | 0.8973 | 0.814  | 0.9487 | 0.9761 | 0.814  | 0.3797 | 0.246  | 0.7442 
ours-2-107k| 0.8764 | 0.8964 | 0.814  | 0.9478 | 0.9774 | 0.814  |  0.38  | 0.2474 | 0.7442 
ours-2-128k| 0.875  | 0.8963 |  0.81  | 0.9537 | 0.9781 |  0.81  | 0.3833 | 0.247  | 0.7442 
ours-3-158k| 0.8765 | 0.8948 | 0.811  | 0.9498 | 0.9791 | 0.811  | 0.3823 | 0.2484 | 0.7441 
ours-2-115k| 0.8773 | 0.8955 | 0.812  | 0.951  | 0.9776 | 0.812  | 0.3803 | 0.2466 | 0.744  
ours-1-90k| 0.8759 | 0.8951 | 0.812  | 0.9528 | 0.9736 | 0.812  | 0.3813 | 0.246  | 0.7436 
ours-2-127k| 0.8756 | 0.895  | 0.807  | 0.9553 | 0.9767 | 0.807  | 0.3833 | 0.247  | 0.7434 
ours-4-220k| 0.8772 | 0.8944 | 0.813  | 0.947  | 0.9749 | 0.813  | 0.3803 | 0.2466 | 0.7433 
ours-4-210k| 0.876  | 0.8948 | 0.812  | 0.9472 | 0.976  | 0.812  | 0.3807 | 0.2472 | 0.7432 
ours-2-108k| 0.8759 | 0.8958 | 0.813  | 0.9472 | 0.9756 | 0.813  | 0.3787 | 0.2466 | 0.7432 
ours-2-106k| 0.8759 | 0.8944 | 0.807  | 0.9532 | 0.9777 | 0.807  | 0.3823 | 0.2472 | 0.7431 
ours-2-104k| 0.8746 | 0.8942 | 0.809  | 0.9507 | 0.9746 | 0.809  | 0.3813 | 0.246  | 0.7424 
ours-2-103k| 0.874  | 0.8938 | 0.811  | 0.9472 | 0.9766 | 0.811  | 0.379  | 0.2468 | 0.7424 
ours-1-98k| 0.8741 | 0.8927 | 0.807  | 0.9502 | 0.9754 | 0.807  | 0.3813 | 0.2458 | 0.7417 
ours-3-166k| 0.8744 | 0.8927 | 0.807  | 0.9488 | 0.9761 | 0.807  | 0.3807 | 0.2468 | 0.7417 
ours-2-124k| 0.8738 | 0.8924 | 0.802  | 0.9558 | 0.9776 | 0.802  | 0.3833 | 0.246  | 0.7416 
ours-2-120k| 0.8736 | 0.8922 | 0.804  | 0.9517 | 0.9784 | 0.804  | 0.382  | 0.2468 | 0.7416 
ours-4-221k| 0.8738 | 0.8932 | 0.809  | 0.9473 | 0.974  | 0.809  | 0.3803 | 0.2458 | 0.7416 
ours-2-110k| 0.8728 | 0.8931 | 0.806  | 0.9482 | 0.9763 | 0.806  | 0.3807 | 0.2466 | 0.7412 
ours-1-97k| 0.873  | 0.8915 | 0.806  | 0.9453 | 0.9797 | 0.806  | 0.3793 | 0.2482 | 0.7411 
ours-2-112k| 0.8723 | 0.8919 | 0.804  | 0.9508 | 0.977  | 0.804  | 0.3813 | 0.2466 | 0.741  
ours-2-144k| 0.8745 | 0.8925 | 0.805  | 0.9473 | 0.9771 | 0.805  | 0.379  | 0.247  | 0.7409 
ours-2-114k| 0.8725 | 0.8925 | 0.805  | 0.9497 | 0.9756 | 0.805  | 0.3807 | 0.2464 | 0.7409 
ours-2-117k| 0.8731 | 0.8921 | 0.806  | 0.9468 | 0.9772 | 0.806  | 0.379  | 0.247  | 0.7409 
ours-2-123k| 0.8723 | 0.8918 | 0.802  | 0.953  | 0.9771 | 0.802  | 0.382  | 0.2462 | 0.7408 
ours-1-99k| 0.8717 | 0.891  | 0.805  | 0.9493 | 0.9768 | 0.805  | 0.3803 | 0.247  | 0.7408 
ours-2-105k| 0.8716 | 0.8907 | 0.802  | 0.9522 | 0.9777 | 0.802  | 0.382  | 0.247  | 0.7406 
ours-1-91k| 0.8724 | 0.891  | 0.805  | 0.9488 | 0.9753 | 0.805  |  0.38  | 0.2464 | 0.7405 
ours-3-177k| 0.8709 | 0.889  | 0.799  | 0.9522 | 0.9785 | 0.799  | 0.383  | 0.2476 | 0.7399 
ours-1-93k| 0.8717 | 0.8893 | 0.801  | 0.951  | 0.9765 | 0.801  | 0.3807 | 0.2468 | 0.7397 
ours-2-122k| 0.8714 | 0.8904 | 0.799  | 0.9528 | 0.9762 | 0.799  | 0.383  | 0.2458 | 0.7397 
ours-1-88k| 0.8695 | 0.8906 | 0.804  | 0.9468 | 0.9774 | 0.804  | 0.3787 | 0.2462 | 0.7396 
ours-2-119k| 0.8725 | 0.8907 | 0.803  | 0.945  | 0.9769 | 0.803  | 0.3787 | 0.2466 | 0.7395 
ours-2-118k| 0.8706 |  0.89  | 0.803  | 0.9472 | 0.974  | 0.803  | 0.3797 | 0.2458 | 0.7392 
ours-1-94k| 0.872  | 0.8904 | 0.801  | 0.949  | 0.9746 | 0.801  | 0.3793 | 0.2452 | 0.7391 
ours-1-86k| 0.8705 | 0.8915 | 0.807  | 0.9408 | 0.9741 | 0.807  | 0.375  | 0.2448 | 0.7388 
ours-1-80k| 0.871  | 0.8905 | 0.802  | 0.9503 | 0.972  | 0.802  | 0.3797 | 0.243  | 0.7388 
ours-1-83k| 0.8694 | 0.8908 | 0.807  | 0.9407 | 0.9734 | 0.807  | 0.3757 | 0.245  | 0.7386 
ours-1-96k| 0.8698 | 0.8882 | 0.798  | 0.9472 | 0.9783 | 0.798  |  0.38  | 0.2468 | 0.7383 
ours-1-87k| 0.8681 | 0.8889 | 0.802  | 0.9452 | 0.9745 | 0.802  | 0.3783 | 0.2452 | 0.738  
ours-2-111k| 0.8676 | 0.8879 | 0.797  | 0.9498 | 0.9761 | 0.797  | 0.3813 | 0.2468 | 0.7379 
ours-1-92k| 0.8684 | 0.8872 | 0.796  | 0.9515 | 0.9756 | 0.796  | 0.3807 | 0.2468 | 0.7378 
ours-1-89k| 0.8672 | 0.8873 | 0.798  | 0.9472 | 0.9776 | 0.798  | 0.379  | 0.2474 | 0.7377 
ours-1-81k| 0.8702 | 0.8895 | 0.802  | 0.9442 | 0.9714 | 0.802  | 0.3767 | 0.2436 | 0.7374 
ours-1-82k| 0.8696 | 0.8908 | 0.806  | 0.938  | 0.9706 | 0.806  | 0.3743 | 0.243  | 0.7373 
ours-1-68k| 0.8688 | 0.8875 | 0.802  | 0.9397 | 0.9716 | 0.802  | 0.3753 | 0.2442 | 0.7364 
ours-1-95k| 0.8665 | 0.8853 | 0.795  | 0.947  | 0.9772 | 0.795  | 0.379  | 0.246  | 0.7364 
ours-1-85k| 0.8683 | 0.8885 |  0.8   | 0.941  | 0.9714 |  0.8   | 0.376  | 0.2438 | 0.7361 
ours-1-67k| 0.868  | 0.8867 |  0.8   | 0.9415 | 0.9732 |  0.8   | 0.3753 | 0.2442 | 0.7361 
ours-1-76k| 0.867  | 0.8856 | 0.797  | 0.9427 | 0.9746 | 0.797  | 0.3767 | 0.2454 | 0.7357 
ours-1-78k| 0.8693 | 0.8871 |  0.8   | 0.9362 | 0.9749 |  0.8   | 0.3717 | 0.246  | 0.7356 
